file,class,method,variable,usage
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,next/0,last,1
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,next/0,index,2
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,remove/0,last,5
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,remove/0,index,1
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,advanceToItem/0,index,3
Project/Peergos/src/peergos/shared/util/EfficientHashMap.java,peergos.shared.util.EfficientHashMap$EntryIterator,hasNext/0,index,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getSharedFiles/2[int,int]",context,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getSharedFiles/2[int,int]",crypto,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getSharedFiles/2[int,int]",network,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"addToFriend/3[java.lang.String,peergos.shared.social.ProcessedCaps,peergos.shared.social.CapsDiff]",currentCapBytesProcessed,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getOrMkdirToStoreMedia/2[java.lang.String,peergos.shared.LocalDateTime]",context,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getOrMkdirToStoreMedia/2[java.lang.String,peergos.shared.LocalDateTime]",network,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getOrMkdirToStoreMedia/2[java.lang.String,peergos.shared.LocalDateTime]",crypto,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"uploadMediaForPost/4[peergos.shared.crypto.hash.AsyncReader,int,peergos.shared.LocalDateTime,peergos.shared.util.ProgressConsumer<java.lang.Long>]",network,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"uploadMediaForPost/4[peergos.shared.crypto.hash.AsyncReader,int,peergos.shared.LocalDateTime,peergos.shared.util.ProgressConsumer<java.lang.Long>]",crypto,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"updatePost/2[java.lang.String,peergos.shared.social.SocialPost]",context,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"updatePost/2[java.lang.String,peergos.shared.social.SocialPost]",network,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"updatePost/2[java.lang.String,peergos.shared.social.SocialPost]",crypto,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,update/0,dataDir,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,update/0,context,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,update/0,network,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,ensureFeedUptodate/0,feedSizeBytes,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,ensureFeedUptodate/0,lastSeenIndex,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,ensureFeedUptodate/0,dataDir,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,ensureFeedUptodate/0,feedSizeRecords,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"load/2[peergos.shared.FileWrapper,peergos.shared.util.UserContext]",FEED_STATE,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"load/2[peergos.shared.FileWrapper,peergos.shared.util.UserContext]",dataDir,3
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"load/2[peergos.shared.FileWrapper,peergos.shared.util.UserContext]",context,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,createNewPost/1[peergos.shared.social.SocialPost],context,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,createNewPost/1[peergos.shared.social.SocialPost],network,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,createNewPost/1[peergos.shared.social.SocialPost],crypto,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,feedSizeBytes,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,lastSeenIndex,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,feedSizeRecords,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,stateFile,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,currentCapBytesProcessed,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,network,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,commit/0,crypto,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"mergeUpdates/1[peergos.shared.util.Collection<peergos.shared.util.Triple<java.lang.String,peergos.shared.social.ProcessedCaps,peergos.shared.social.CapsDiff>>]",currentCapBytesProcessed,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",feedSizeBytes,3
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",lastSeenIndex,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",dataDir,5
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",FEED_FILE,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",feedSizeRecords,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",stateFile,3
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",currentCapBytesProcessed,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",network,7
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"appendToFeedAndCommitState/2[byte[],int]",crypto,3
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"mergeCommentReferences/1[peergos.shared.List<peergos.shared.util.Pair<peergos.shared.social.SharedItem,peergos.shared.FileWrapper>>]",network,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"mergeCommentReferences/1[peergos.shared.List<peergos.shared.util.Pair<peergos.shared.social.SharedItem,peergos.shared.FileWrapper>>]",crypto,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",feedSizeBytes,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",dataDir,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",FEED_FILE,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",feedSizeRecords,1
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",crypto,2
Project/Peergos/src/peergos/shared/social/SocialFeed.java,peergos.shared.social.SocialFeed,"getShared/4[int,int,peergos.shared.util.Crypto,peergos.shared.NetworkAccess]",network,3
