file,class,method,variable,usage
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,resolveReferences/1[org.apache.atlas.type.AtlasTypeRegistry],elementTypeName,1
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,resolveReferences/1[org.apache.atlas.type.AtlasTypeRegistry],elementType,1
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,getNormalizedValueForUpdate/1[java.lang.Object],elementType,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,isValidValue/1[java.lang.Object],elementType,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,setCardinality/1[org.apache.atlas.model.typedef.AtlasStructDef.AtlasAttributeDef.Cardinality],cardinality,3
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"validateValue/3[java.lang.Object,java.lang.String,java.util.List<java.lang.String>]",minCount,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"validateValue/3[java.lang.Object,java.lang.String,java.util.List<java.lang.String>]",maxCount,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"validateValue/3[java.lang.Object,java.lang.String,java.util.List<java.lang.String>]",elementType,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,isValidElementCount/1[int],minCount,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,isValidElementCount/1[int],maxCount,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,getMinCount/0,minCount,1
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,AtlasArrayType/1[org.apache.atlas.type.AtlasType],elementType,2
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"AtlasArrayType/4[org.apache.atlas.type.AtlasType,int,int,org.apache.atlas.model.typedef.AtlasStructDef.AtlasAttributeDef.Cardinality]",minCount,3
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"AtlasArrayType/4[org.apache.atlas.type.AtlasType,int,int,org.apache.atlas.model.typedef.AtlasStructDef.AtlasAttributeDef.Cardinality]",elementTypeName,1
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"AtlasArrayType/4[org.apache.atlas.type.AtlasType,int,int,org.apache.atlas.model.typedef.AtlasStructDef.AtlasAttributeDef.Cardinality]",elementType,5
Project/atlas/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,"AtlasArrayType/4[org.apache.atlas.type.AtlasType,int,int,org.apache.atlas.model.typedef.AtlasStructDef.AtlasAttributeDef.Cardinality]",maxCount,3
