file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Project/aws-sdk-java-v2/http-clients/netty-nio-client/src/test/java/software/amazon/awssdk/http/nio/netty/fault/ServerConnectivityErrorMessageTest.java,software.amazon.awssdk.http.nio.netty.fault.ServerConnectivityErrorMessageTest$Server$FaultInjectionSslEngine,innerclass,3,3,0,3,12,3,0,7,4,0.6,0,0,5,0,3,2,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,31,2,0,6,0,1,2,0,3,2,2,1,0,0,1,48,2,1
Project/aws-sdk-java-v2/codegen/src/test/resources/software/amazon/awssdk/codegen/poet/eventstream/test-response-handler.java,software.amazon.awssdk.services.json.model.EventStreamOperationResponseHandler,interface,5,11,6,5,1,1,0,0,0,0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,1,0,0,0,0,0,0,2,0,15,1,0
Project/aws-sdk-java-v2/codegen/src/test/resources/software/amazon/awssdk/codegen/poet/model/documentinputoperationresponse.java,software.amazon.awssdk.services.jsonprotocoltests.model.DocumentInputOperationResponse$Builder,interface,3,3,0,3,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Project/aws-sdk-java-v2/archetypes/archetype-app-quickstart/src/main/resources/archetype-resources/src/main/java/DependencyFactory.java,$.DependencyFactory,class,0,0,0,0,4,1,0,0,1,0,0,0,2,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
Project/aws-sdk-java-v2/services/ssooidc/src/main/java/software/amazon/awssdk/services/ssooidc/internal/SsoOidcToken.java,software.amazon.awssdk.services.ssooidc.internal.SsoOidcToken,class,5,15,10,5,16,1,0,8,2,0.61538464,0.4090909,0.8333333,13,1,12,1,0,0,12,0,0,0,8,0,0,8,0,0,8,0,17,129,14,0,3,0,0,11,7,17,14,10,1,0,2,0,45,17,0
Project/aws-sdk-java-v2/core/sdk-core/src/main/java/software/amazon/awssdk/core/interceptor/Context.java,software.amazon.awssdk.core.interceptor.Context,class,12,12,0,12,1,1,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,17,0
Project/aws-sdk-java-v2/core/sdk-core/src/main/java/software/amazon/awssdk/core/retry/conditions/TokenBucketRetryCondition.java,software.amazon.awssdk.core.retry.conditions.TokenBucketRetryCondition$Builder,innerclass,3,3,0,3,4,1,0,0,6,0.75,0,0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,49,25,0
Project/aws-sdk-java-v2/test/codegen-generated-classes-test/src/test/java/software/amazon/awssdk/services/FipsEndpointTest.java,software.amazon.awssdk.services.FipsEndpointTest,class,14,14,0,14,10,3,0,28,1,0.5,0,0,2,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,5,86,1,0,5,2,1,50,0,9,1,11,3,0,3,1,58,1,0
Project/aws-sdk-java-v2/core/sdk-core/src/test/java/software/amazon/awssdk/core/http/server/MockServer.java,software.amazon.awssdk.core.http.server.MockServer$ServerBehavior,enum,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
Project/aws-sdk-java-v2/core/arns/src/main/java/software/amazon/awssdk/arns/ArnResource.java,software.amazon.awssdk.arns.ArnResource,class,6,12,6,6,20,1,0,15,0,0.3,0.6944444,0.7777778,10,2,9,1,0,0,9,0,0,0,3,0,0,3,0,0,3,0,8,105,14,0,7,0,2,3,11,12,9,10,1,0,2,0,80,17,0
