file,class,method,variable,usage
Project/closure-compiler/src/com/google/javascript/rhino/testing/TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,actualCustomStringRepresentation/0,actual,1
Project/closure-compiler/src/com/google/javascript/rhino/testing/TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,isNoResolvedType/1[java.lang.String],actual,1
Project/closure-compiler/src/com/google/javascript/rhino/testing/TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,"TypeSubject/2[com.google.javascript.rhino.testing.FailureMetadata,com.google.javascript.rhino.jstype.JSType]",actual,1
Project/closure-compiler/src/com/google/javascript/rhino/testing/TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,"checkEqualityAgainst/2[com.google.javascript.rhino.jstype.JSType,boolean]",actual,5
Project/closure-compiler/src/com/google/javascript/rhino/testing/TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,actualNonNull/0,actual,1
Project/closure-compiler/src/com/google/javascript/jscomp/parsing/parser/trees/VariableStatementTree.java,com.google.javascript.jscomp.parsing.parser.trees.VariableStatementTree,"VariableStatementTree/2[com.google.javascript.jscomp.parsing.parser.util.SourceRange,com.google.javascript.jscomp.parsing.parser.trees.VariableDeclarationListTree]",declarations,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setIsExternalMsg/1[boolean],isExternal,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendCanonicalPlaceholderReference/1[java.lang.String],parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendCanonicalPlaceholderReference/1[java.lang.String],jsPlaceholderNames,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,"setPlaceholderNameToOriginalCodeMap/1[java.util.Map<java.lang.String,java.lang.String>]",placeholderNameToOriginalCodeMap,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setKey/1[java.lang.String],key,4
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setId/1[java.lang.String],id,6
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,getKey/0,key,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setIsHidden/1[boolean],hidden,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendStringPart/1[java.lang.String],parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setAlternateId/1[java.lang.String],alternateId,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setIsAnonymous/1[boolean],isAnonymous,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,getParts/0,parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setSourceName/1[java.lang.String],sourceName,4
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,"setPlaceholderNameToExampleMap/1[java.util.Map<java.lang.String,java.lang.String>]",placeholderNameToExampleMap,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,isExternal,2
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,hidden,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,placeholderNameToExampleMap,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,jsPlaceholderNames,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,alternateId,4
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,isAnonymous,2
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,placeholderNameToOriginalCodeMap,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,meaning,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,id,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,sourceName,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,key,2
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,build/0,desc,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendParts/1[java.util.List<com.google.javascript.jscomp.JsMessage.Part>],parts,2
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setMeaning/1[java.lang.String],meaning,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendPart/1[com.google.javascript.jscomp.JsMessage.Part],parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendPart/1[com.google.javascript.jscomp.JsMessage.Part],jsPlaceholderNames,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,setDesc/1[java.lang.String],desc,3
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendJsPlaceholderReference/1[java.lang.String],parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,appendJsPlaceholderReference/1[java.lang.String],jsPlaceholderNames,1
Project/closure-compiler/src/com/google/javascript/jscomp/JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,hasParts/0,parts,1
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,"processProvideCall/3[com.google.javascript.jscomp.NodeTraversal,com.google.javascript.jscomp.Node,com.google.javascript.jscomp.Node]",providedNames,3
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,"processProvideCall/3[com.google.javascript.jscomp.NodeTraversal,com.google.javascript.jscomp.Node,com.google.javascript.jscomp.Node]",chunkGraph,1
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,"handleCandidateProvideDefinition/3[com.google.javascript.jscomp.NodeTraversal,com.google.javascript.jscomp.Node,com.google.javascript.jscomp.Node]",providedNames,1
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,"handleCandidateProvideDefinition/3[com.google.javascript.jscomp.NodeTraversal,com.google.javascript.jscomp.Node,com.google.javascript.jscomp.Node]",chunkGraph,1
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,checkNestedTypedefProvide/1[com.google.javascript.jscomp.Node],TYPEDEF_CHILD_OF_PROVIDE,1
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,checkNestedTypedefProvide/1[com.google.javascript.jscomp.Node],providedNames,2
Project/closure-compiler/src/com/google/javascript/jscomp/ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,checkNestedTypedefProvide/1[com.google.javascript.jscomp.Node],compiler,1
