file,class,method,variable,usage
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,SCOPES,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,SCOPES,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testBuilder/0,SCOPES,5
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,SCOPES,1
Project/google-api-java-client/google-api-client/src/test/java/com/google/api/client/googleapis/auth/oauth2/GooglePublicKeysManagerTest.java,com.google.api.client.googleapis.auth.oauth2.GooglePublicKeysManagerTest,testGetCacheTimeInSec/0,MAX_AGE,1
Project/google-api-java-client/google-api-client/src/test/java/com/google/api/client/googleapis/auth/oauth2/GooglePublicKeysManagerTest.java,com.google.api.client.googleapis.auth.oauth2.GooglePublicKeysManagerTest,testLoadCerts_cache/0,MAX_AGE,1
Project/google-api-java-client/google-api-client/src/test/java/com/google/api/client/googleapis/auth/oauth2/GooglePublicKeysManagerTest.java,com.google.api.client.googleapis.auth.oauth2.GooglePublicKeysManagerTest,testLoadCerts_cache/0,AGE,1
Project/google-api-java-client/google-api-client/src/main/java/com/google/api/client/googleapis/auth/oauth2/GoogleIdTokenVerifier.java,com.google.api.client.googleapis.auth.oauth2.GoogleIdTokenVerifier$Builder,getTransport/0,publicKeys,1
Project/google-api-java-client/google-api-client/src/main/java/com/google/api/client/googleapis/auth/oauth2/GoogleIdTokenVerifier.java,com.google.api.client.googleapis.auth.oauth2.GoogleIdTokenVerifier$Builder,setPublicCertsEncodedUrl/1[java.lang.String],publicKeys,2
Project/google-api-java-client/google-api-client/src/main/java/com/google/api/client/googleapis/auth/oauth2/GoogleIdTokenVerifier.java,com.google.api.client.googleapis.auth.oauth2.GoogleIdTokenVerifier$Builder,getPublicCertsEncodedUrl/0,publicKeys,1
