file,class,method,variable,usage
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,request,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,headers,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,authHeader,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,appIdentity,3
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,expectedAccessToken,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,builder,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,appCredential,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,headerContainsToken,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testUsesAppIdentityService/0,transport,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,jsonFactory,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,appIdentity,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,expectedAccessToken,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,builder,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,appCredential,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,wrapper,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapperGetAccessToken/0,transport,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testBuilder/0,credential,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testBuilder/0,builder,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testBuilder/0,scopes,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,request,3
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,headers,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,scopedWrapper,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,jsonFactory,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,appIdentity,4
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,expected,0
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,wrapper,4
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,transport,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,authHeader,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,expectedAccessToken,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,emptyScopes,1
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,builder,2
Project/google-api-java-client/google-api-client-appengine/src/test/java/com/google/api/client/googleapis/extensions/appengine/auth/oauth2/AppIdentityCredentialTest.java,com.google.api.client.googleapis.extensions.appengine.auth.oauth2.AppIdentityCredentialTest,testAppEngineCredentialWrapper/0,appCredential,1
