file,class,method,variable,usage
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,reset/0,checkpoint,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,reset/0,counter,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,checkpoint,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,threshold,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,counter,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,isActive/0,isActive,2
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shutdown/0,checkpointOffsetsTimer,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shutdown/0,isActive,2
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,update/1[int],counter,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,"CountingCheckpointTrigger/2[int,int]",threshold,3
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,"CountingCheckpointTrigger/2[int,int]",counter,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,"CountingCheckpointTrigger/2[int,int]",checkpointOffsetsTimer,1
Project/mantis/mantis-connectors/mantis-connector-kafka/src/main/java/io/mantisrx/connector/kafka/source/checkpoint/trigger/CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,"CountingCheckpointTrigger/2[int,int]",isActive,1
Project/mantis/mantis-control-plane/mantis-control-plane-server/src/main/java/io/mantisrx/master/events/WorkerMetricsCollector.java,io.mantisrx.master.events.WorkerMetricsCollector$WorkerMetricsCollectorMetrics,reportJobWorkersSize/1[int],jobWorkersMapSize,1
Project/mantis/mantis-control-plane/mantis-control-plane-server/src/main/java/io/mantisrx/master/events/WorkerMetricsCollector.java,io.mantisrx.master.events.WorkerMetricsCollector$WorkerMetricsCollectorMetrics,WorkerMetricsCollectorMetrics/0,jobWorkersMapSize,1
Project/mantis/mantis-control-plane/mantis-control-plane-server/src/main/java/io/mantisrx/master/events/WorkerMetricsCollector.java,io.mantisrx.master.events.WorkerMetricsCollector$WorkerMetricsCollectorMetrics,WorkerMetricsCollectorMetrics/0,JOB_WORKERS_MAP_SIZE,2
Project/mantis/mantis-common/src/test/java/io/mantisrx/common/WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,testIfWorkerPortsIsSerializableByJson/0,serializer,2
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getConnectedServerCount/0,numConnected,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getInstance/1[boolean],INSTANCE,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onError/1[java.lang.Throwable],LOGGER,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getTotalServerCount/0,total,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getReceivingDataCount/0,receivingData,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onCompleted/0,LOGGER,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,total,4
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,numConnected,3
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,LOGGER,1
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,receivingData,3
Project/mantis/mantis-connectors/mantis-connector-job/src/main/java/io/mantisrx/connector/job/core/DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onNext/1[io.mantisrx.connector.job.core.SinkConnectionsStatus],total,1
