file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/NumberParser.java,org.postgresql.util.NumberParser$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,class,2,4,2,2,14,3,0,9,0,0.5714286,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,0,44,7,0,7,0,2,0,3,9,2,7,1,0,0,0,85,1,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,class,4,7,3,4,15,1,0,15,0,0.4,1.0,1.0,5,0,5,0,0,0,5,0,0,0,3,2,0,3,0,0,2,0,2,48,5,0,4,1,0,3,4,7,0,7,1,0,0,0,65,1,0
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,class,2,3,1,2,7,2,0,30,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,61,0,0,1,0,1,12,19,10,0,10,1,0,0,0,58,1,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/hostchooser/HostRequirement.java,org.postgresql.hostchooser.HostRequirement,enum,3,11,8,3,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0,0,4,0,1,0,1,0,6,0,0,79,1,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/LazyCleaner.java,org.postgresql.util.LazyCleaner$CleaningAction,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/util/BrokenInputStream.java,org.postgresql.test.util.BrokenInputStream,class,0,1,1,0,3,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,2,0,0,16,1,0,0,0,0,1,1,3,1,3,1,0,0,0,16,1,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/ByteStreamWriter.java,org.postgresql.util.ByteStreamWriter,interface,1,13,12,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,1,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/translation/messages_fr.java,org.postgresql.translation.messages_fr,class,1,1,0,1,10,2,0,2,3,0.6666667,0.0,0.0,3,0,3,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,333,6,1,2,0,3,288,299,297,7,7,2,1,0,0,553,1,0
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc2/BatchFailureTest.java,org.postgresql.test.jdbc2.BatchFailureTest$FailMode,enum,1,1,0,1,8,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,0,0,6,0,0,1,0,1,0,0,0,33,2,0
