file,class,method,variable,usage
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,clone/0,calendar,2
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,clone/0,clone,4
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,PGTimestamp/1[long],time,1
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,"PGTimestamp/2[long,java.util.Calendar]",calendar,2
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,"PGTimestamp/2[long,java.util.Calendar]",time,1
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,hashCode/0,prime,1
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,hashCode/0,result,3
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,setCalendar/1[java.util.Calendar],calendar,2
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,equals/1[java.lang.Object],that,2
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,equals/1[java.lang.Object],o,5
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,abort/0,e,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,abort/0,pgStream,4
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,QueryExecutorCloseAction/1[org.postgresql.core.PGStream],pgStream,2
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,isClosed/0,pgStream,3
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,close/0,pgStream,7
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,sendCloseMessage/1[org.postgresql.core.PGStream],pgStream,5
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,sendCloseMessage/1[org.postgresql.core.PGStream],timeout,2
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testUnknownType/0,rs,3
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testUnknownType/0,stmt,1
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,setUp/0,stmt,2
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testPreparedBoolean/0,rs,6
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testPreparedBoolean/0,pstmt,5
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testCallableBoolean/0,cs,5
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,tearDown/0,stmt,2
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testPreparedByte/0,rs,6
Project/pgjdbc/pgjdbc/src/test/java/org/postgresql/test/jdbc3/TypesTest.java,org.postgresql.test.jdbc3.TypesTest,testPreparedByte/0,pstmt,4
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/hostchooser/HostRequirement.java,org.postgresql.hostchooser.HostRequirement,getTargetServerType/1[java.lang.String],allowSlave,1
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/hostchooser/HostRequirement.java,org.postgresql.hostchooser.HostRequirement,getTargetServerType/1[java.lang.String],targetServerType,1
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/hostchooser/HostRequirement.java,org.postgresql.hostchooser.HostRequirement,allowConnectingTo/1[org.postgresql.hostchooser.HostStatus],status,0
Project/pgjdbc/pgjdbc/src/main/java/org/postgresql/util/LazyCleaner.java,org.postgresql.util.LazyCleaner$CleaningAction,onClean/1[boolean],leak,0
