file,class,method,variable,usage
Project/pitest/pitest-entry/src/main/java/org/pitest/mutationtest/incremental/NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,close/0,pw,1
Project/pitest/pitest-entry/src/main/java/org/pitest/mutationtest/incremental/NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,create/0,pw,1
Project/pitest/pitest-entry/src/main/java/org/pitest/mutationtest/incremental/NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,NullWriterFactory/0,pw,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,CheckTestHasFailedResultListener/1[boolean],recordPassingTests,3
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestStart/1[org.pitest.mutationtest.execute.Description],testsRun,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,getSucceedingTests/0,succeedingTests,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,getNumberOfTestsRun/0,testsRun,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,getFailingTests/0,failingTests,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestFailure/1[org.pitest.mutationtest.execute.TestResult],failingTests,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,status/0,failingTests,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestSuccess/1[org.pitest.mutationtest.execute.TestResult],succeedingTests,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestSuccess/1[org.pitest.mutationtest.execute.TestResult],recordPassingTests,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,stringSwitchShouldReturnB/0,testee,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,switchIntegerAndThenSwitchStringShouldReturnA1/0,testee,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,switchIntegerAndThenSwitchStringShouldReturnC1/0,testee,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,stringSwitchShouldReturnC/0,testee,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,switchIntegerAndThenSwitchStringShouldReturnB1/0,testee,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,switchIntegerAndThenSwitchStringShouldThrowIllegalArgumentException/0,testee,1
