file,class,method,variable,usage
Project/pitest/pitest/src/test/java/org/pitest/mutationtest/engine/gregor/mutators/RemoveConditionalMutatorTest.java,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest$HasIF_ICMPNE,apply/1[int],i,1
Project/pitest/pitest/src/test/java/org/pitest/mutationtest/engine/gregor/mutators/RemoveConditionalMutatorTest.java,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest$HasIF_ICMPNE,apply/1[int],j,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,CheckTestHasFailedResultListener/1[boolean],recordPassingTests,2
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestStart/1[org.pitest.mutationtest.execute.Description],d,0
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestSkipped/1[org.pitest.mutationtest.execute.TestResult],tr,0
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestFailure/1[org.pitest.mutationtest.execute.TestResult],tr,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestSuccess/1[org.pitest.mutationtest.execute.TestResult],tr,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/MutationTestWorker.java,org.pitest.mutationtest.execute.MutationTestWorker$Anonymous1,execute/1[org.pitest.mutationtest.execute.TestUnit],rc,1
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/MutationTestWorker.java,org.pitest.mutationtest.execute.MutationTestWorker$Anonymous1,execute/1[org.pitest.mutationtest.execute.TestUnit],results,2
Project/pitest/pitest/src/main/java/org/pitest/mutationtest/execute/MutationTestWorker.java,org.pitest.mutationtest.execute.MutationTestWorker$Anonymous1,execute/1[org.pitest.mutationtest.execute.TestUnit],group,1
Project/pitest/pitest-java8-verification/src/test/java/com/example/java7/HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,stringSwitchShouldReturnB/0,result,1
