file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Project/selenide/src/test/java/com/codeborne/selenide/DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,class,7,12,5,7,13,1,0,3,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,38,9,0,0,0,0,4,0,0,0,0,0,0,0,0,37,1,0
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,class,16,17,1,16,11,1,0,36,0,0.4181818,1.0,1.0,11,0,0,3,0,8,8,0,0,0,5,0,0,5,0,0,5,0,0,87,1,0,0,0,0,27,17,12,0,12,0,0,0,0,93,16,0
Project/selenide/src/main/java/com/codeborne/selenide/impl/WindowsCloser.java,com.codeborne.selenide.impl.WindowsCloser$SupplierWithException,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,class,5,5,0,5,2,1,0,6,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,5,0,0,5,0,0,5,0,7,15,0,0,0,0,0,25,2,7,2,7,0,0,0,0,35,16,0
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,class,15,16,1,15,10,3,0,34,0,0.2,0.7777778,0.7777778,10,0,0,1,0,9,9,0,0,0,1,0,0,1,0,0,1,0,7,87,1,0,0,0,0,9,0,13,0,13,0,0,5,0,85,17,0
Project/selenide/src/test/java/com/codeborne/selenide/SelenideConfigTest.java,com.codeborne.selenide.SelenideConfigTest,class,4,4,0,4,6,1,0,7,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,14,33,0,0,0,0,0,31,0,0,0,0,0,0,0,0,36,16,0
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,class,8,9,1,8,5,2,0,7,0,0.125,1.0,1.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,2,0,3,20,3,0,1,0,0,4,0,4,0,4,0,0,0,0,21,1,0
Project/selenide/src/test/java/com/codeborne/selenide/selector/ByTextTest.java,com.codeborne.selenide.selector.ByTextTest,class,3,3,0,3,2,1,0,5,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,2,1,2,0,0,0,0,16,0,0
Project/selenide/statics/src/test/java/integration/CollectionBecauseTest.java,integration.CollectionBecauseTest,class,6,6,0,6,7,3,0,12,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,47,3,1,2,0,1,0,0,6,33,16,0
Project/selenide/statics/src/test/java/integration/customcommands/MySelenideElement.java,integration.customcommands.MySelenideElement,interface,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
Project/selenide/src/main/java/com/codeborne/selenide/impl/TailOfCollection.java,com.codeborne.selenide.impl.TailOfCollection,class,8,10,2,8,9,1,0,8,0,0.48148146,0.5714286,0.5714286,9,0,8,1,0,0,8,0,0,0,3,0,0,3,0,0,2,0,1,38,7,0,0,0,0,2,0,9,4,8,0,0,0,0,27,1,0
Project/selenide/src/test/java/com/codeborne/selenide/collections/ExactTextsTest.java,com.codeborne.selenide.collections.ExactTextsTest,class,8,9,1,8,12,1,0,27,66,0.0,0.0,0.0,12,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,13,56,0,0,0,0,0,47,3,17,2,17,0,0,0,4,60,16,0
Project/selenide/src/main/java/com/codeborne/selenide/conditions/webdriver/Title.java,com.codeborne.selenide.conditions.webdriver.Title,class,6,7,1,6,7,1,0,2,1,0.2857143,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,24,6,0,0,0,0,3,0,1,2,1,0,0,0,0,15,1,0
Project/selenide/src/main/java/com/codeborne/selenide/ex/AttributesSizeMismatch.java,com.codeborne.selenide.ex.AttributesSizeMismatch,class,5,6,1,5,2,3,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,1,9,0,0,2,0,0,0,0,0,23,1,0
Project/selenide/src/main/java/com/codeborne/selenide/logevents/LogEvent.java,com.codeborne.selenide.logevents.LogEvent,interface,1,10,9,1,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,1,0
Project/selenide/src/test/java/com/codeborne/selenide/collections/ContainExactTextsCaseSensitiveTest.java,com.codeborne.selenide.collections.ContainExactTextsCaseSensitiveTest,class,8,8,0,8,11,1,0,17,51,0.93181825,0.036363635,0.036363635,11,0,0,0,0,11,11,0,0,0,12,0,0,12,0,0,12,0,23,61,0,0,0,0,0,87,5,23,6,23,0,0,0,5,70,1,0
Project/selenide/src/main/java/com/codeborne/selenide/commands/GetSelectedOptionValue.java,com.codeborne.selenide.commands.GetSelectedOptionValue,class,7,8,1,7,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
Project/selenide/src/main/java/com/codeborne/selenide/ex/ObjectConditionError.java,com.codeborne.selenide.ex.ObjectConditionError,class,4,6,2,4,1,3,2,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Project/selenide/src/main/java/com/codeborne/selenide/impl/FileNamer.java,com.codeborne.selenide.impl.FileNamer,class,3,6,3,3,2,1,1,10,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,5,9,2,0,0,0,0,3,0,1,0,1,0,0,0,0,40,1,0
Project/selenide/src/test/java/com/codeborne/selenide/commands/SetValueCommandTest.java,com.codeborne.selenide.commands.SetValueCommandTest,class,9,9,0,9,4,1,0,13,0,0.20833333,1.0,1.0,4,0,0,0,0,4,4,0,0,0,6,0,0,6,0,0,6,0,0,28,0,0,0,0,0,3,0,8,0,8,0,0,0,0,41,16,0
Project/selenide/src/test/java/com/codeborne/selenide/SharedDownloadsFolderTest.java,com.codeborne.selenide.SharedDownloadsFolderTest,class,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,16,0
Project/selenide/src/main/java/com/codeborne/selenide/selector/WithTagAndText.java,com.codeborne.selenide.selector.WithTagAndText,class,4,5,1,4,3,2,1,3,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,2,0,0,0,2,0,2,0,0,15,2,0,0,0,0,8,0,2,2,2,0,0,0,0,28,1,0
Project/selenide/src/main/java/com/codeborne/selenide/HoverOptions.java,com.codeborne.selenide.HoverOptions,class,4,7,3,4,7,1,0,1,0,0.2,0.8333333,1.0,5,1,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,21,5,0,2,0,0,2,2,2,0,2,1,0,0,0,9,1,0
Project/selenide/src/main/java/com/codeborne/selenide/commands/GetDataAttribute.java,com.codeborne.selenide.commands.GetDataAttribute,class,7,9,2,7,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,1,1,1,0,0,0,0,13,1,0
Project/selenide/statics/src/main/java/com/codeborne/selenide/impl/WebDriverContainer.java,com.codeborne.selenide.impl.WebDriverContainer,interface,10,12,2,10,22,1,0,0,231,0.0,0.0,0.0,22,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
Project/selenide/statics/src/test/java/integration/pageobjects/PageObjectWithAliasesTest.java,integration.pageobjects.PageObjectWithAliasesTest,class,8,8,0,8,6,3,0,11,0,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,1,0,0,1,0,0,0,0,1,29,0,0,0,0,0,4,2,1,0,1,0,0,1,5,24,1,0
