file,class,method,variable,usage
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeAbove300/0,filter,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeAbove300/0,contents,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeAbove300/0,messageInfo,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeAbove300/0,response,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,responseFilter_doesNothingIfNotActivated/0,filter,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,responseFilter_doesNothingIfNotActivated/0,contents,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,responseFilter_doesNothingIfNotActivated/0,messageInfo,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,responseFilter_doesNothingIfNotActivated/0,response,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_doesNothingIfNotActivated/0,filter,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_doesNothingIfNotActivated/0,request,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_doesNothingIfNotActivated/0,contents,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_doesNothingIfNotActivated/0,messageInfo,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,setUp/0,contents,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,setUp/0,response,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,"mockStatusCode/2[int,java.lang.String]",response,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,mockUrl/1[java.lang.String],messageInfo,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,filter,4
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,contents,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,messageInfo,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,response,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeBelow200/0,filter,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeBelow200/0,contents,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeBelow200/0,messageInfo,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeBelow200/0,response,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,filter,4
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,contents,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,messageInfo,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,response,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_addsRequestHeader_toDisableContentEncoding/0,filter,2
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_addsRequestHeader_toDisableContentEncoding/0,request,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_addsRequestHeader_toDisableContentEncoding/0,contents,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_addsRequestHeader_toDisableContentEncoding/0,messageInfo,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withExplanation/0,exception,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withExplanation/0,actualElementsList,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withExplanation/0,timeoutMs,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withExplanation/0,collection,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withExplanation/0,expectedSize,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withoutExplanation/0,exception,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withoutExplanation/0,actualElementsList,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withoutExplanation/0,timeoutMs,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withoutExplanation/0,collection,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withoutExplanation/0,expectedSize,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,marksTestAsFailed_withAssertionError_containingAllErrors/0,listener,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotMarkTestAsFailed_forMethodsThatDoNotNeedSoftAsserts/0,listener,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotInterceptTestMethod_withDeclaredExpectedExceptions/0,listener,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,findsListenersAnnotationFromParentClass/0,listener,5
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,interceptsTestMethod_ifTestClassHasDeclaredSoftAssertListener/0,listener,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotMarkTestAsFailed_ifThereWereNoErrorsDuringMethodExecution/0,listener,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,addsSelenideErrorListener_forMethodsThatNeedSoftAsserts/0,listener,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotAddSelenideErrorListener_forMethodsThatDoNotNeedSoftAsserts/0,listener,1
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,toString/0,attributeRegex,1
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,toString/0,attributeName,1
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,"MatchAttributeWithValue/2[java.lang.String,java.lang.String]",attributeRegex,3
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,"MatchAttributeWithValue/2[java.lang.String,java.lang.String]",attributeName,3
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,getAttributeValue/1[com.codeborne.selenide.conditions.WebElement],attributeName,1
