file,class,method,variable,usage
Project/selenide/src/test/java/com/codeborne/selenide/DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,findElements/1[com.codeborne.selenide.By],by,0
Project/selenide/src/test/java/com/codeborne/selenide/DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,get/1[java.lang.String],url,0
Project/selenide/src/test/java/com/codeborne/selenide/DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,findElement/1[com.codeborne.selenide.By],by,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,mockHeaders/1[com.codeborne.selenide.proxy.HttpMessage],headers,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,mockHeaders/1[com.codeborne.selenide.proxy.HttpMessage],message,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,setUp/0,headers,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,setUp/0,directory,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,"mockStatusCode/2[int,java.lang.String]",reason,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,"mockStatusCode/2[int,java.lang.String]",code,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,mockUrl/1[java.lang.String],url,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,file,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,expectedFile,1
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,file,3
Project/selenide/src/test/java/com/codeborne/selenide/proxy/FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,expectedFile,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withExplanation/0,listSizeMismatch,1
Project/selenide/src/test/java/com/codeborne/selenide/ex/ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,toString_withoutExplanation/0,listSizeMismatch,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,marksTestAsFailed_withAssertionError_containingAllErrors/0,result,3
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,marksTestAsFailed_withAssertionError_containingAllErrors/0,softAssertionError,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,marksTestAsFailed_withAssertionError_containingAllErrors/0,errorsCollector,3
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotMarkTestAsFailed_forMethodsThatDoNotNeedSoftAsserts/0,result,3
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",result,4
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",iClass,3
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",constructorOrMethod,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",method,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",methodName,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",testClass,3
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotMarkTestAsFailed_ifThereWereNoErrorsDuringMethodExecution/0,result,3
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotMarkTestAsFailed_ifThereWereNoErrorsDuringMethodExecution/0,errorsCollector,2
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,addsSelenideErrorListener_forMethodsThatNeedSoftAsserts/0,result,1
Project/selenide/modules/testng/src/test/java/com/codeborne/selenide/testng/SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,shouldNotAddSelenideErrorListener_forMethodsThatDoNotNeedSoftAsserts/0,result,1
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,"MatchAttributeWithValue/2[java.lang.String,java.lang.String]",attributeRegex,2
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,"MatchAttributeWithValue/2[java.lang.String,java.lang.String]",attributeName,2
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,getAttributeValue/1[com.codeborne.selenide.conditions.WebElement],attr,2
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,getAttributeValue/1[com.codeborne.selenide.conditions.WebElement],element,1
Project/selenide/src/main/java/com/codeborne/selenide/conditions/MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,"check/2[com.codeborne.selenide.conditions.Driver,com.codeborne.selenide.conditions.WebElement]",driver,0
